scenario,seed,simulation_time_seconds,intersection_id,queue_length,vehicle_count,mean_speed_mps,throughput_vehicles,tls_phase
low,42,1140,GS_772276149,0.7333333333333333,0.9666666666666667,1.5162222266670202,1,3
low,42,1140,cluster_367567689_6510829338,0.0,0.0,0.0,0,2
low,42,1140,cluster_368825355_772192674_9246233634,0.36666666666666664,0.7833333333333333,3.7603430473829813,2,2
low,42,1140,cluster_370330726_6544892748_772027151,0.0,0.016666666666666666,8.310008,1,2
low,42,1140,cluster_482350926_6510829336_772206492,0.5833333333333334,2.0166666666666666,4.679063904718457,5,2
low,42,1140,cluster_4961905688_6510829310_771983339_772054674_#2more,0.21666666666666667,0.3333333333333333,2.4756830535974146,0,2
low,42,1140,cluster_6510829335_772038986,0.0,0.9166666666666666,9.034816504156021,7,0
low,42,1140,cluster_771987417_772142429_772237953_8821814562,0.0,0.25,9.061267216959038,4,0
low,42,1140,cluster_772070536_772172281,0.0,0.0,0.0,0,2
low,42,1140,cluster_772156519_772183645,0.0,0.0,0.0,0,2
low,42,1140,joinedS_3841825190_cluster_367567700_772275036,0.0,0.0,0.0,0,3
low,42,1200,6510829334,0.0,0.0,0.0,0,0
low,42,1200,772009950,0.0,0.0,0.0,0,0
low,42,1200,772249131,0.0,0.0,0.0,0,0
low,42,1200,GS_772276149,0.5,0.5,0.0,1,1
low,42,1200,cluster_367567689_6510829338,0.0,0.0,0.0,0,0
low,42,1200,cluster_368825355_772192674_9246233634,0.5,0.5833333333333334,1.312046373845222,2,0
low,42,1200,cluster_370330726_6544892748_772027151,0.0,0.0,0.0,0,0
low,42,1200,cluster_482350926_6510829336_772206492,2.033333333333333,3.6,2.951273726543489,2,0
low,42,1200,cluster_4961905688_6510829310_771983339_772054674_#2more,0.9166666666666666,1.1833333333333333,1.6569750761976254,3,0
low,42,1200,cluster_6510829335_772038986,0.0,0.13333333333333333,9.615113436686187,1,0
low,42,1200,cluster_771987417_772142429_772237953_8821814562,0.0,0.03333333333333333,9.759463788566581,1,0
low,42,1200,cluster_772070536_772172281,0.0,0.0,0.0,0,0
low,42,1200,cluster_772156519_772183645,0.0,0.05,6.569483161556005,1,0
low,42,1200,joinedS_3841825190_cluster_367567700_772275036,0.016666666666666666,0.06666666666666667,0.8552959745446576,0,1
low,42,1260,6510829334,0.0,0.03333333333333333,10.604957344548922,1,2
low,42,1260,772009950,0.0,0.0,0.0,0,2
low,42,1260,772249131,0.0,0.0,0.0,0,2
low,42,1260,GS_772276149,0.13333333333333333,0.43333333333333335,4.707199721038647,0,5
low,42,1260,cluster_367567689_6510829338,0.6833333333333333,1.1666666666666667,3.1711315187426363,1,4
low,42,1260,cluster_368825355_772192674_9246233634,1.0166666666666666,1.4666666666666666,1.973255457462389,1,4
low,42,1260,cluster_370330726_6544892748_772027151,0.0,0.13333333333333333,9.194331758703328,0,3
low,42,1260,cluster_482350926_6510829336_772206492,1.0666666666666667,1.85,2.4132176022201484,6,3
low,42,1260,cluster_4961905688_6510829310_771983339_772054674_#2more,0.5,0.7,1.8442522701187027,1,4
low,42,1260,cluster_6510829335_772038986,0.0,0.4,10.198612257415322,3,3
low,42,1260,cluster_771987417_772142429_772237953_8821814562,0.0,0.11666666666666667,8.562438514538718,3,2
low,42,1260,cluster_772070536_772172281,0.0,0.0,0.0,0,3
low,42,1260,cluster_772156519_772183645,0.0,0.06666666666666667,6.304250986323925,0,3
low,42,1260,joinedS_3841825190_cluster_367567700_772275036,0.18333333333333332,0.3333333333333333,2.8318366528986108,2,5
low,42,1320,6510829334,0.0,0.0,0.0,0,0
low,42,1320,772009950,0.0,0.0,0.0,0,0
low,42,1320,772249131,0.0,0.16666666666666666,7.712080857055521,1,0
low,42,1320,GS_772276149,0.9,1.0,0.42443175913971387,0,3
low,42,1320,cluster_367567689_6510829338,0.6333333333333333,1.0833333333333333,3.6664553445489196,3,2
low,42,1320,cluster_368825355_772192674_9246233634,0.31666666666666665,0.65,3.7169575220735793,2,2
low,42,1320,cluster_370330726_6544892748_772027151,0.6333333333333333,0.9166666666666666,2.0446220459936293,1,2
low,42,1320,cluster_482350926_6510829336_772206492,0.016666666666666666,0.5833333333333334,6.17435282701895,1,2
low,42,1320,cluster_4961905688_6510829310_771983339_772054674_#2more,0.9333333333333333,0.9666666666666667,0.16640763337640013,2,2
low,42,1320,cluster_6510829335_772038986,0.0,0.13333333333333333,9.34743950378508,1,0
low,42,1320,cluster_771987417_772142429_772237953_8821814562,0.0,0.18333333333333332,9.515903196735321,3,0
low,42,1320,cluster_772070536_772172281,0.15,0.4,5.5497128125271855,1,2
low,42,1320,cluster_772156519_772183645,0.0,0.0,0.0,0,2
low,42,1320,joinedS_3841825190_cluster_367567700_772275036,0.5,0.6166666666666667,1.875334445907069,3,3
low,42,1380,6510829334,0.0,0.06666666666666667,9.474696800655524,2,0
low,42,1380,772009950,0.0,0.0,0.0,0,0
low,42,1380,772249131,0.0,0.1,9.014449066087971,2,0
low,42,1380,GS_772276149,0.4,0.85,2.9185978110110216,1,1
